node,round,train_loss,train_accuracy_pct,private_test_accuracy_pct,epsilon,delta,global_proxy_accuracy_pct,successful_updates,throughput_updates_per_sec,bytes_tx,bytes_rx,training_ms,key_generation_ms,signature_generation_ms,signature_verification_ms,batch_verification_ms,batch_verification_receiver_ms,encryption_ms,decryption_ms,communication_tx_ms,communication_rx_ms,security_latency_ms,communication_latency_ms,device_round_execution_ms,rsu_round_execution_ms,server_round_execution_ms,energy_training_j,energy_security_j,energy_communication_j,energy_total_j,energy_idle_j,idle_latency_ms
Cluster_1,22,,,,,,,,,616342.0,411387.0,,0.0,16.39830000931397,113.75099999713711,50.379899999825284,,42.603000008966774,0.0,53.7289000058081,0.38979999953880906,223.13220001524314,54.11870000534691,,106.1729000066407,,0.0,0.9710713344663383,0.35328687363490463,1.324358208101243,0.0,0.0
Cluster_2,22,,,,,,,,,616341.0,411386.0,,0.0,12.382999993860722,124.00459998752922,50.379899999825284,,43.77499999827705,0.0,58.99109999882057,1.5484000032301992,230.54249997949228,60.53950000205077,,109.60830000112765,,0.0,1.0033209599107504,0.3952018560133874,1.3985228159241379,0.0,0.0
Server,22,,,,,,91.25,2.0,0.727645228712682,409876.0,412931.0,,0.0,,,,100.75979999965057,,0.0,7.165399991208687,39.16290000779554,0.0,46.32829999900423,,,2409.3020999862347,0.0,0.0,0.3024311423934996,0.3024311423934996,5.141830988772213,2362.9737999872304
C1_D1,23,0.05476244604835908,98.875,88.5,678905.698182489,1e-05,,,,,204938.0,6143.81670000148,0.0,,,,,,0.0,,0.5227999936323613,0.0,0.5227999936323613,34472.66520000994,,,66.8447256960161,0.0,0.003412838358432055,0.003412838358432055,61.64243672323228,28328.32570001483
C1_D2,23,0.03967517133181294,99.33333333333333,89.0,678905.698182489,1e-05,,,,206448.0,204938.0,5868.801300006453,0.0,12.834900000598282,125.71200000820681,,,38.540400011697784,0.0,1.3961000076960772,0.5540999991353601,177.08730002050288,1.9502000068314373,34469.473700009985,,,63.852558144070215,0.7706839296892285,0.012730905644595624,0.7834148353338242,61.84547754234821,28421.634899976198
C2_D1,23,0.05333541641632716,98.79166666666667,87.0,678905.698182489,1e-05,,,,,204938.0,7029.52219999861,0.0,,,,,,0.0,,0.7033000001683831,0.0,0.7033000001683831,34466.297899984056,,,76.48120153598488,0.0,0.004591142401099205,0.004591142401099205,59.70089354236797,27436.072399985278
C2_D2,23,0.05370180513088901,98.95833333333334,86.0,678905.698182489,1e-05,,,,206448.0,204938.0,5996.565499983262,0.0,18.467399990186095,138.1653999851551,,,46.98469999129884,0.0,1.7448000144213438,16.62489998852834,203.61749996664003,18.369700002949685,34486.57020000974,,,65.2426326398179,0.8861433598548175,0.11991740161925556,1.006060761474073,61.51120608012379,28268.017500056885
Cluster_1,23,,,,,,,,,616341.0,411386.0,,0.0,17.055899981642142,131.36719999602064,51.86824999691453,,55.49610001617111,0.0,6.812800012994558,41.41389997676015,255.78744999074843,48.22669998975471,,79.800300009083,,0.0,1.1131869823597371,0.31482389753311874,1.428010879892856,0.0,0.0
Cluster_2,23,,,,,,,,,616341.0,411386.0,,0.0,14.76869999896735,119.61940000765026,51.86824999691453,,43.438499997137114,0.0,28.582599974470213,0.43230000301264226,229.69485000066925,29.014899977482855,,64.52779998653568,,0.0,0.9996319872029127,0.1894092670530081,1.1890412542559208,0.0,0.0
Server,23,,,,,,91.21000000000001,2.0,0.8079234343856394,409876.0,412930.0,,0.0,,,,103.73649999382906,,0.0,30.752399965422228,12.91510000010021,0.0,43.66749996552244,,,2204.4480000040494,0.0,0.0,0.2850614397749305,0.2850614397749305,4.701858368083835,2160.780500038527
